Year,unit,Series,Value
1985,pct.,Married before age 15,0.0
1985,pct.,Married before age 18,0.470035252643948
1986,pct.,Married before age 15,0.0
1986,pct.,Married before age 18,0.510493477027794
1987,pct.,Married before age 15,0.0
1987,pct.,Married before age 18,0.435492651061513
1988,pct.,Married before age 15,0.0
1988,pct.,Married before age 18,0.261917234154007
1989,pct.,Married before age 15,0.0
1989,pct.,Married before age 18,0.203148806500762
1990,pct.,Married before age 15,0.0
1990,pct.,Married before age 18,0.367068694284216
1991,pct.,Married before age 15,0.0
1991,pct.,Married before age 18,0.345622119815668
1992,pct.,Married before age 15,0.0
1992,pct.,Married before age 18,0.181708055723804
1993,pct.,Married before age 15,0.0
1993,pct.,Married before age 18,0.275292498279422
1994,pct.,Married before age 15,0.0
1994,pct.,Married before age 18,0.327600327600328
1995,pct.,Married before age 15,0.0
1995,pct.,Married before age 18,0.26857654431513
1996,pct.,Married before age 15,0.0
1996,pct.,Married before age 18,0.434782608695652
1997,pct.,Married before age 15,0.0
1997,pct.,Married before age 18,0.327332242225859
1998,pct.,Married before age 15,0.0
1998,pct.,Married before age 18,0.31496062992126
1999,pct.,Married before age 15,0.0
1999,pct.,Married before age 18,0.231124807395994
2000,pct.,Married before age 15,0.0
2000,pct.,Married before age 18,0.153727901614143
2001,pct.,Married before age 15,0.0
2001,pct.,Married before age 18,0.149700598802395
2002,pct.,Married before age 15,0.0
2002,pct.,Married before age 18,0.145666423889294
2003,pct.,Married before age 15,0.0
2003,pct.,Married before age 18,0.071994240460763
2004,pct.,Married before age 15,0.0
2004,pct.,Married before age 18,0.074571215510813
2005,pct.,Married before age 15,0.0
2005,pct.,Married before age 18,0.0
2006,pct.,Married before age 15,0.0
2006,pct.,Married before age 18,0.0
2007,pct.,Married before age 15,0.0
2007,pct.,Married before age 18,0.0
2008,pct.,Married before age 15,0.0
2008,pct.,Married before age 18,0.0
2009,pct.,Married before age 15,0.0
2009,pct.,Married before age 18,0.0
2010,pct.,Married before age 15,0.0
2010,pct.,Married before age 18,0.0
2011,pct.,Married before age 15,0.0
2011,pct.,Married before age 18,0.0
2012,pct.,Married before age 15,0.0
2012,pct.,Married before age 18,0.0
2013,pct.,Married before age 15,0.0
2013,pct.,Married before age 18,0.0
2014,pct.,Married before age 15,0.0
2014,pct.,Married before age 18,0.0
2015,pct.,Married before age 15,0.0
2015,pct.,Married before age 18,0.0
2016,pct.,Married before age 15,0.0
2016,pct.,Married before age 18,0.0
2017,pct.,Married before age 15,0.0
2017,pct.,Married before age 18,0.072306579898771
2018,pct.,Married before age 15,0.0
2018,pct.,Married before age 18,0.073260073260073
2019,pct.,Married before age 15,0.0
2019,pct.,Married before age 18,0.07496251874063
2020,pct.,Married before age 15,0.0
2020,pct.,Married before age 18,0.141143260409315
2021,pct.,Married before age 15,0.0
2021,pct.,Married before age 18,0.13986013986014
2022,pct.,Married before age 15,0.0
2022,pct.,Married before age 18,0.071530758226037
2023,pct.,Married before age 15,0.0
2023,pct.,Married before age 18,0.070521861777151
2024,pct.,Married before age 15,0.0
2024,pct.,Married before age 18,0.069348127600555
2025,pct.,Married before age 15,0.0
2025,pct.,Married before age 18,0.0
