Year,Measure,Value
1998,Merchandise trade as a proportion of GDP (%),73.1
1998,"Personal remittances, received, as a proportion of GDP (%)",4.2
1998,Current account balance as a proportion of GDP (%),19.2
1998,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
1998,"Portfolio investment, net (BoP, current US$)",..
1998,Total reserves in months of imports,..
1998,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
1998,External debt stocks as a proportion of GNI (%),..
1998,DEC alternative conversion factor (LCU per US$),669.7
1998,Annual broad money growth (%),..
1998,Broad money to total reserves ratio,..
1998,Bank nonperforming loans to total gross loans (%),..
1998,Bank capital to assets ratio (%),..
1998,Tax revenue as a proportion of GDP (%),44.4
1998,Cash surplus/deficit as a proportion of GDP (%),31.3
1998,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
1998,Annual GDP growth (%),..
1998,Annual growth of the gross capital formation (%),..
1998,Annual growth of households and NPISHs final consumption expenditure (%),..
1998,Annual growth of the general government final consumption expenditure (%),..
1998,Annual growth of exports of goods and services (%),..
1998,Annual growth of imports of goods and services (%),..
1998,"Annual inflation, consumer prices (%)",4.7
1998,Total unemployment out of total labour force (national estimate) (%),..
1999,Merchandise trade as a proportion of GDP (%),82.2
1999,"Personal remittances, received, as a proportion of GDP (%)",4.3
1999,Current account balance as a proportion of GDP (%),14.8
1999,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
1999,"Portfolio investment, net (BoP, current US$)",..
1999,Total reserves in months of imports,..
1999,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
1999,External debt stocks as a proportion of GNI (%),..
1999,DEC alternative conversion factor (LCU per US$),698.3
1999,Annual broad money growth (%),..
1999,Broad money to total reserves ratio,..
1999,Bank nonperforming loans to total gross loans (%),..
1999,Bank capital to assets ratio (%),..
1999,Tax revenue as a proportion of GDP (%),45.9
1999,Cash surplus/deficit as a proportion of GDP (%),14.8
1999,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
1999,Annual GDP growth (%),5.8
1999,Annual growth of the gross capital formation (%),14.5
1999,Annual growth of households and NPISHs final consumption expenditure (%),9.8
1999,Annual growth of the general government final consumption expenditure (%),9.4
1999,Annual growth of exports of goods and services (%),11.1
1999,Annual growth of imports of goods and services (%),22.3
1999,"Annual inflation, consumer prices (%)",5.1
1999,Total unemployment out of total labour force (national estimate) (%),..
2000,Merchandise trade as a proportion of GDP (%),93.0
2000,"Personal remittances, received, as a proportion of GDP (%)",3.9
2000,Current account balance as a proportion of GDP (%),9.3
2000,"Foreign direct investment, net inflows, as a proportion of GDP (%)",..
2000,"Portfolio investment, net (BoP, current US$)",..
2000,Total reserves in months of imports,..
2000,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",..
2000,External debt stocks as a proportion of GNI (%),..
2000,DEC alternative conversion factor (LCU per US$),809.0
2000,Annual broad money growth (%),..
2000,Broad money to total reserves ratio,..
2000,Bank nonperforming loans to total gross loans (%),..
2000,Bank capital to assets ratio (%),..
2000,Tax revenue as a proportion of GDP (%),45.0
2000,Cash surplus/deficit as a proportion of GDP (%),9.3
2000,"Gross PSD, Central Gov.-D2, All maturities, D1+ SDRs + currency and deposits, Nominal Value, as a proportion of GDP (%)",..
2000,Annual GDP growth (%),9.4
2000,Annual growth of the gross capital formation (%),42.3
2000,Annual growth of households and NPISHs final consumption expenditure (%),5.3
2000,Annual growth of the general government final consumption expenditure (%),9.0
