Year,Series,Units,Mát,Value
1998,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,16805.0795077822
1998,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.1003687843625
1999,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,18931.8772058334
1999,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.8414897673827
2000,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,19860.2805322022
2000,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.5302819514005
2001,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,23365.962156296
2001,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,11.2595400084915
2002,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,23988.4973622168
2002,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,11.2700541399692
2003,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,21788.4209867006
2003,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,10.5474869369233
2004,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,20589.9735600601
2004,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,9.6088336623698
2005,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,20052.2723972702
2005,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,9.1604283142234
2006,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,22242.742420784
2006,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.9334677923442
2007,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,23584.1143271372
2007,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.9429744991322
2008,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,23242.9029894641
2008,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.8721176646683
2009,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,21843.650221444
2009,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.61490466248
2010,Virðisøking frá ídnaðarvinnu fyri hvørt fólkið,DKK fyri hvørt fólkið,,22185.9942012237
2010,Virðisøking frá ídnaðarvinnu sum partur av BTÚ,%,,8.1979838648183
