Year,Series,source,Units,Value
1998,TOT_GOV_REV,,PCT,81.3311359368879
1999,TOT_GOV_REV,,PCT,69.4597686538706
2000,TOT_GOV_REV,,PCT,67.6208031905027
2001,TOT_GOV_REV,,PCT,65.5109923679932
2002,TOT_GOV_REV,,PCT,62.3622907664034
2003,TOT_GOV_REV,,PCT,62.4723325551075
2004,TOT_GOV_REV,,PCT,59.9030310068517
2005,TOT_GOV_REV,,PCT,60.1051833601819
2006,TOT_GOV_REV,,PCT,58.7888687941194
2007,TOT_GOV_REV,,PCT,59.5119729205444
2008,TOT_GOV_REV,,PCT,61.3280603764072
2009,TOT_GOV_REV,,PCT,60.1272250160453
2010,TOT_GOV_REV,,PCT,57.3035335742935
2011,TOT_GOV_REV,,PCT,59.0465783566002
2012,TOT_GOV_REV,,PCT,56.8690209466909
2013,TOT_GOV_REV,,PCT,54.2184862825562
2014,TOT_GOV_REV,,PCT,52.6579352850539
2015,TOT_GOV_REV,,PCT,53.2124501934515
2016,TOT_GOV_REV,,PCT,51.8502286384134
2017,TOT_GOV_REV,,PCT,54.3995527773543
2018,TOT_GOV_REV,,PCT,56.5573037725729
2019,TOT_GOV_REV,,PCT,54.0740774742602
2020,TOT_GOV_REV,,PCT,55.557424304008
2021,TOT_GOV_REV,,PCT,54.9887142887852
2022,TOT_GOV_REV,,PCT,52.7918067391134
2023,TOT_GOV_REV,,PCT,52.2862296168145
2024,TOT_GOV_REV,,PCT,53.118681310816
1998,TOT_GOV_REV,GR_G14_TAX,PCT,41.1012198251989
1999,TOT_GOV_REV,GR_G14_TAX,PCT,42.4863353247744
2000,TOT_GOV_REV,GR_G14_TAX,PCT,41.9507048785012
2001,TOT_GOV_REV,GR_G14_TAX,PCT,41.3474582414282
2002,TOT_GOV_REV,GR_G14_TAX,PCT,42.1725525257041
2003,TOT_GOV_REV,GR_G14_TAX,PCT,42.7387485724104
2004,TOT_GOV_REV,GR_G14_TAX,PCT,40.5837494677351
2005,TOT_GOV_REV,GR_G14_TAX,PCT,40.1772007959822
2006,TOT_GOV_REV,GR_G14_TAX,PCT,39.7193029244835
2007,TOT_GOV_REV,GR_G14_TAX,PCT,40.5508564427585
2008,TOT_GOV_REV,GR_G14_TAX,PCT,40.7241387459921
2009,TOT_GOV_REV,GR_G14_TAX,PCT,39.1529706147584
2010,TOT_GOV_REV,GR_G14_TAX,PCT,38.4827133946409
2011,TOT_GOV_REV,GR_G14_TAX,PCT,39.2645287899737
2012,TOT_GOV_REV,GR_G14_TAX,PCT,38.1151534549593
2013,TOT_GOV_REV,GR_G14_TAX,PCT,35.6375550186981
2014,TOT_GOV_REV,GR_G14_TAX,PCT,35.3902218308998
2015,TOT_GOV_REV,GR_G14_TAX,PCT,36.3856326153491
2016,TOT_GOV_REV,GR_G14_TAX,PCT,34.8074262601514
2017,TOT_GOV_REV,GR_G14_TAX,PCT,36.1716725110535
2018,TOT_GOV_REV,GR_G14_TAX,PCT,36.9256213123547
