Year,Series,age,Units,sex,Value
2011,SL_TLF_NEET,,PCT,,4.40759001942328
2011,SL_TLF_NEET,,PCT,M,4.18746533555186
2011,SL_TLF_NEET,,PCT,F,4.66472303206997
2011,SL_TLF_NEET,Y15-19,PCT,,2.99450549450549
2011,SL_TLF_NEET,Y15-19,PCT,M,3.18230852211435
2011,SL_TLF_NEET,Y15-19,PCT,F,2.79955207166853
2011,SL_TLF_NEET,Y20-24,PCT,,6.09236816246315
2011,SL_TLF_NEET,Y20-24,PCT,M,5.25114155251142
2011,SL_TLF_NEET,Y20-24,PCT,F,7.22521137586472
2017,SL_TLF_NEET,,PCT,,2.34484914803814
2018,SL_TLF_NEET,,PCT,,5.19117189928505
2019,SL_TLF_NEET,,PCT,,9.89948218093207
2020,SL_TLF_NEET,,PCT,,7.42065265981225
2021,SL_TLF_NEET,,PCT,,4.39253709416777
