Year,Aldur,Kyn,Value
2009,Tils. (aldur),Menn,3.8
2009,Tils. (aldur),Kvinnur,4.0
2009,00-17 ár,Menn,4.6
2009,00-17 ár,Kvinnur,4.9
2009,18-24 ár,Menn,3.3
2009,18-24 ár,Kvinnur,6.5
2009,25-54 ár,Menn,3.3
2009,25-54 ár,Kvinnur,3.6
2009,55-66 ár,Menn,4.3
2009,55-66 ár,Kvinnur,3.2
2009,67+ ár,Menn,2.8
2009,67+ ár,Kvinnur,2.6
2010,Tils. (aldur),Menn,3.5
2010,Tils. (aldur),Kvinnur,3.9
2010,00-17 ár,Menn,4.5
2010,00-17 ár,Kvinnur,5.1
2010,18-24 ár,Menn,3.1
2010,18-24 ár,Kvinnur,5.9
2010,25-54 ár,Menn,3.2
2010,25-54 ár,Kvinnur,3.5
2010,55-66 ár,Menn,3.8
2010,55-66 ár,Kvinnur,2.7
2010,67+ ár,Menn,2.3
2010,67+ ár,Kvinnur,2.2
2011,Tils. (aldur),Menn,3.8
2011,Tils. (aldur),Kvinnur,4.2
2011,00-17 ár,Menn,5.0
2011,00-17 ár,Kvinnur,5.6
2011,18-24 ár,Menn,3.7
2011,18-24 ár,Kvinnur,7.5
2011,25-54 ár,Menn,3.5
2011,25-54 ár,Kvinnur,3.7
2011,55-66 ár,Menn,3.7
2011,55-66 ár,Kvinnur,2.8
2011,67+ ár,Menn,2.0
2011,67+ ár,Kvinnur,2.3
2012,Tils. (aldur),Menn,4.1
2012,Tils. (aldur),Kvinnur,4.4
2012,00-17 ár,Menn,5.6
2012,00-17 ár,Kvinnur,5.6
2012,18-24 ár,Menn,4.4
2012,18-24 ár,Kvinnur,8.0
2012,25-54 ár,Menn,3.5
2012,25-54 ár,Kvinnur,4.1
2012,55-66 ár,Menn,3.8
2012,55-66 ár,Kvinnur,2.9
2012,67+ ár,Menn,2.6
2012,67+ ár,Kvinnur,2.2
2013,Tils. (aldur),Menn,3.9
2013,Tils. (aldur),Kvinnur,4.5
2013,00-17 ár,Menn,5.6
2013,00-17 ár,Kvinnur,6.1
2013,18-24 ár,Menn,4.1
2013,18-24 ár,Kvinnur,7.6
2013,25-54 ár,Menn,3.3
2013,25-54 ár,Kvinnur,4.3
2013,55-66 ár,Menn,3.7
2013,55-66 ár,Kvinnur,2.8
2013,67+ ár,Menn,2.1
2013,67+ ár,Kvinnur,2.3
2014,Tils. (aldur),Menn,3.8
2014,Tils. (aldur),Kvinnur,4.4
2014,00-17 ár,Menn,5.1
2014,00-17 ár,Kvinnur,5.6
2014,18-24 ár,Menn,4.7
2014,18-24 ár,Kvinnur,7.5
2014,25-54 ár,Menn,3.1
2014,25-54 ár,Kvinnur,4.1
2014,55-66 ár,Menn,3.7
2014,55-66 ár,Kvinnur,3.0
2014,67+ ár,Menn,2.3
2014,67+ ár,Kvinnur,2.4
2015,Tils. (aldur),Menn,3.7
2015,Tils. (aldur),Kvinnur,4.1
2015,00-17 ár,Menn,4.8
2015,00-17 ár,Kvinnur,5.4
2015,18-24 ár,Menn,4.6
2015,18-24 ár,Kvinnur,6.8
2015,25-54 ár,Menn,3.2
2015,25-54 ár,Kvinnur,4.1
2015,55-66 ár,Menn,3.8
2015,55-66 ár,Kvinnur,2.3
2015,67+ ár,Menn,2.3
2015,67+ ár,Kvinnur,2.2
2016,Tils. (aldur),Menn,3.2
2016,Tils. (aldur),Kvinnur,3.6
2016,00-17 ár,Menn,4.6
2016,00-17 ár,Kvinnur,4.7
2016,18-24 ár,Menn,3.2
2016,18-24 ár,Kvinnur,6.0
2016,25-54 ár,Menn,2.9
2016,25-54 ár,Kvinnur,3.6
2016,55-66 ár,Menn,3.2
2016,55-66 ár,Kvinnur,2.4
2016,67+ ár,Menn,2.0
2016,67+ ár,Kvinnur,1.9
2017,Tils. (aldur),Menn,3.1
2017,Tils. (aldur),Kvinnur,3.6
2017,00-17 ár,Menn,4.2
2017,00-17 ár,Kvinnur,4.4
2017,18-24 ár,Menn,2.4
2017,18-24 ár,Kvinnur,5.1
2017,25-54 ár,Menn,2.9
2017,25-54 ár,Kvinnur,3.4
2017,55-66 ár,Menn,3.0
2017,55-66 ár,Kvinnur,2.3
2017,67+ ár,Menn,2.3
2017,67+ ár,Kvinnur,3.1
2018,Tils. (aldur),Menn,2.9
2018,Tils. (aldur),Kvinnur,3.2
2018,00-17 ár,Menn,3.9
2018,00-17 ár,Kvinnur,3.7
2018,18-24 ár,Menn,2.8
2018,18-24 ár,Kvinnur,5.4
2018,25-54 ár,Menn,2.7
2018,25-54 ár,Kvinnur,3.2
2018,55-66 ár,Menn,2.4
2018,55-66 ár,Kvinnur,1.9
2018,67+ ár,Menn,2.2
2018,67+ ár,Kvinnur,2.8
