Year,Units,Avleiðing,Kyn,Value
2009,Persónar,Deyðilig,,1.0
2009,Persónar,Deyðilig,Kvinnur,0.0
2009,Persónar,Deyðilig,Menn,1.0
2009,Persónar,Ikki-deyðilig,,141.0
2009,Persónar,Ikki-deyðilig,Kvinnur,68.0
2009,Persónar,Ikki-deyðilig,Menn,73.0
2009,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.6
2009,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2009,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,6.7
2009,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,514.3
2009,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,540.3
2009,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,492.2
2010,Persónar,Deyðilig,,0.0
2010,Persónar,Deyðilig,Kvinnur,0.0
2010,Persónar,Deyðilig,Menn,0.0
2010,Persónar,Ikki-deyðilig,,83.0
2010,Persónar,Ikki-deyðilig,Kvinnur,42.0
2010,Persónar,Ikki-deyðilig,Menn,41.0
2010,Pr. 100.000 arbeiðsvirkin,Deyðilig,,0.0
2010,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2010,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2010,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,314.5
2010,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,363.7
2010,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,276.3
2011,Persónar,Deyðilig,,0.0
2011,Persónar,Deyðilig,Kvinnur,0.0
2011,Persónar,Deyðilig,Menn,0.0
2011,Persónar,Ikki-deyðilig,,127.0
2011,Persónar,Ikki-deyðilig,Kvinnur,62.0
2011,Persónar,Ikki-deyðilig,Menn,65.0
2011,Pr. 100.000 arbeiðsvirkin,Deyðilig,,0.0
2011,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2011,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,0.0
2011,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,497.5
2011,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,530.7
2011,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,469.4
2012,Persónar,Deyðilig,,1.0
2012,Persónar,Deyðilig,Kvinnur,0.0
2012,Persónar,Deyðilig,Menn,1.0
2012,Persónar,Ikki-deyðilig,,127.0
2012,Persónar,Ikki-deyðilig,Kvinnur,57.0
2012,Persónar,Ikki-deyðilig,Menn,70.0
2012,Pr. 100.000 arbeiðsvirkin,Deyðilig,,3.6
2012,Pr. 100.000 arbeiðsvirkin,Deyðilig,Kvinnur,0.0
2012,Pr. 100.000 arbeiðsvirkin,Deyðilig,Menn,6.7
2012,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,,457.0
2012,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Kvinnur,441.2
2012,Pr. 100.000 arbeiðsvirkin,Ikki-deyðilig,Menn,470.8
2013,Persónar,Deyðilig,,1.0
2013,Persónar,Deyðilig,Kvinnur,0.0
2013,Persónar,Deyðilig,Menn,1.0
2013,Persónar,Ikki-deyðilig,,145.0
2013,Persónar,Ikki-deyðilig,Kvinnur,76.0
