Year,Series,Units,Flokkur/Kommuna,Value
1984,Løgtingið,data.fowomenseats-proportion,Allir flokkar,3.1
1984,Løgtingið,data.fowomenseats-number,Allir flokkar,1.0
1984,Løgtingið,data.foseats-number,Allir flokkar,32.0
1984,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
1984,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
1984,Løgtingið,data.foseats-number,Fólkaflokkurin,7.0
1984,Løgtingið,data.fowomenseats-proportion,Framburðsflokkurin,0.0
1984,Løgtingið,data.fowomenseats-number,Framburðsflokkurin,0.0
1984,Løgtingið,data.foseats-number,Framburðsflokkurin,2.0
1984,Løgtingið,data.fowomenseats-proportion,Framsókn,
1984,Løgtingið,data.fowomenseats-number,Framsókn,
1984,Løgtingið,data.foseats-number,Framsókn,
1984,Løgtingið,data.fowomenseats-proportion,Javnaðarflokkurin,0.0
1984,Løgtingið,data.fowomenseats-number,Javnaðarflokkurin,0.0
1984,Løgtingið,data.foseats-number,Javnaðarflokkurin,8.0
1984,Løgtingið,data.fowomenseats-proportion,Kristiligi Fólkaflokkurin,
1984,Løgtingið,data.fowomenseats-number,Kristiligi Fólkaflokkurin,
1984,Løgtingið,data.foseats-number,Kristiligi Fólkaflokkurin,
1984,Løgtingið,data.fowomenseats-proportion,Miðflokkurin,
1984,Løgtingið,data.fowomenseats-number,Miðflokkurin,
1984,Løgtingið,data.foseats-number,Miðflokkurin,
1984,Løgtingið,data.fowomenseats-proportion,Sambandsflokkurin,0.0
1984,Løgtingið,data.fowomenseats-number,Sambandsflokkurin,0.0
1984,Løgtingið,data.foseats-number,Sambandsflokkurin,7.0
1984,Løgtingið,data.fowomenseats-proportion,Sjálvstýri,0.0
1984,Løgtingið,data.fowomenseats-number,Sjálvstýri,0.0
1984,Løgtingið,data.foseats-number,Sjálvstýri,2.0
1984,Løgtingið,data.fowomenseats-proportion,Tjóðveldi,16.7
1984,Løgtingið,data.fowomenseats-number,Tjóðveldi,1.0
1984,Løgtingið,data.foseats-number,Tjóðveldi,6.0
1984,Løgtingið,data.fowomenseats-proportion,Verkamannafylkingin,
1984,Løgtingið,data.fowomenseats-number,Verkamannafylkingin,
1984,Løgtingið,data.foseats-number,Verkamannafylkingin,
1988,Løgtingið,data.fowomenseats-proportion,Allir flokkar,9.4
1988,Løgtingið,data.fowomenseats-number,Allir flokkar,3.0
1988,Løgtingið,data.foseats-number,Allir flokkar,32.0
1988,Løgtingið,data.fowomenseats-proportion,Fólkaflokkurin,0.0
1988,Løgtingið,data.fowomenseats-number,Fólkaflokkurin,0.0
