Year,Technology,Value
2015,At least a 3G mobile network,96
2015,At least a 4G mobile network,58
2016,At least a 3G mobile network,98
2016,At least a 4G mobile network,98
2017,At least a 3G mobile network,100
2017,At least a 4G mobile network,100
2018,At least a 3G mobile network,100
2018,At least a 4G mobile network,100
2019,At least a 3G mobile network,100
2019,At least a 4G mobile network,100
2020,At least a 3G mobile network,100
2020,At least a 4G mobile network,100
2021,At least a 3G mobile network,100
2021,At least a 4G mobile network,100
