Year,Units,data.occupation,Value
data.fulltimeequivalent,,723,4
data.fulltimeequivalent,data.dentist,39,0
data.fulltimeequivalent,data.medicaldoctors,113,3
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,509,1
data.fulltimeequivalent,data.pharmacists,62,0
data.per10000population,,1492,8
data.per10000population,data.dentist,80,5
data.per10000population,data.medicaldoctors,233,8
data.per10000population,data.nursingandmidwiferypersonnel,1050,6
data.per10000population,data.pharmacists,127,9
data.fulltimeequivalent,,712,1
data.fulltimeequivalent,data.dentist,39,0
data.fulltimeequivalent,data.medicaldoctors,115,4
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,501,7
data.fulltimeequivalent,data.pharmacists,56,0
data.per10000population,,1474,2
data.per10000population,data.dentist,80,7
data.per10000population,data.medicaldoctors,238,9
data.per10000population,data.nursingandmidwiferypersonnel,1038,6
data.per10000population,data.pharmacists,115,9
data.fulltimeequivalent,,716,6
data.fulltimeequivalent,data.dentist,44,0
data.fulltimeequivalent,data.medicaldoctors,117,7
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,496,9
data.fulltimeequivalent,data.pharmacists,58,0
data.per10000population,,1489,7
data.per10000population,data.dentist,91,5
data.per10000population,data.medicaldoctors,244,7
data.per10000population,data.nursingandmidwiferypersonnel,1033,0
data.per10000population,data.pharmacists,120,6
data.fulltimeequivalent,,708,2
data.fulltimeequivalent,data.dentist,44,0
data.fulltimeequivalent,data.medicaldoctors,121,9
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,484,6
data.fulltimeequivalent,data.pharmacists,57,7
data.per10000population,,1473,1
data.per10000population,data.dentist,91,5
data.per10000population,data.medicaldoctors,253,6
data.per10000population,data.nursingandmidwiferypersonnel,1008,0
data.per10000population,data.pharmacists,120,0
data.fulltimeequivalent,,720,2
data.fulltimeequivalent,data.dentist,46,0
data.fulltimeequivalent,data.medicaldoctors,126,9
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,486,3
data.fulltimeequivalent,data.pharmacists,61,0
data.per10000population,,1489,4
data.per10000population,data.dentist,95,1
data.per10000population,data.medicaldoctors,262,4
data.per10000population,data.nursingandmidwiferypersonnel,1005,7
data.per10000population,data.pharmacists,126,1
data.fulltimeequivalent,,692,5
data.fulltimeequivalent,data.dentist,0,0
data.fulltimeequivalent,data.medicaldoctors,132,1
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,495,7
data.fulltimeequivalent,data.pharmacists,64,7
data.per10000population,,1417,8
data.per10000population,data.dentist,0,0
data.per10000population,data.medicaldoctors,270,5
data.per10000population,data.nursingandmidwiferypersonnel,1014,9
data.per10000population,data.pharmacists,132,5
data.fulltimeequivalent,,711,4
data.fulltimeequivalent,data.dentist,0,0
data.fulltimeequivalent,data.medicaldoctors,133,8
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,513,9
data.fulltimeequivalent,data.pharmacists,63,7
data.per10000population,,1438,8
data.per10000population,data.dentist,0,0
data.per10000population,data.medicaldoctors,270,6
data.per10000population,data.nursingandmidwiferypersonnel,1039,3
data.per10000population,data.pharmacists,128,8
data.fulltimeequivalent,,698,8
data.fulltimeequivalent,data.dentist,0,0
data.fulltimeequivalent,data.medicaldoctors,130,4
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,499,5
data.fulltimeequivalent,data.pharmacists,68,9
data.per10000population,,1394,1
data.per10000population,data.dentist,0,0
data.per10000population,data.medicaldoctors,260,1
data.per10000population,data.nursingandmidwiferypersonnel,996,5
data.per10000population,data.pharmacists,137,5
data.fulltimeequivalent,,728,9
data.fulltimeequivalent,data.dentist,0,0
data.fulltimeequivalent,data.medicaldoctors,141,2
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,522,1
data.fulltimeequivalent,data.pharmacists,65,6
data.per10000population,,1432,9
data.per10000population,data.dentist,0,0
data.per10000population,data.medicaldoctors,277,6
data.per10000population,data.nursingandmidwiferypersonnel,1026,4
data.per10000population,data.pharmacists,129,0
data.fulltimeequivalent,,752,0
data.fulltimeequivalent,data.dentist,0,0
data.fulltimeequivalent,data.medicaldoctors,146,6
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,536,3
data.fulltimeequivalent,data.pharmacists,69,1
data.per10000population,,1454,9
data.per10000population,data.dentist,0,0
data.per10000population,data.medicaldoctors,283,6
data.per10000population,data.nursingandmidwiferypersonnel,1037,6
data.per10000population,data.pharmacists,133,7
data.fulltimeequivalent,,789,0
data.fulltimeequivalent,data.dentist,51,0
data.fulltimeequivalent,data.medicaldoctors,117,9
data.fulltimeequivalent,data.nursingandmidwiferypersonnel,553,4
data.fulltimeequivalent,data.pharmacists,66,7
data.per10000population,,1502,9
data.per10000population,data.dentist,97,1
data.per10000population,data.medicaldoctors,224,6
data.per10000population,data.nursingandmidwiferypersonnel,1054,1
data.per10000population,data.pharmacists,127,1
