Year,unit,Series,Value
1985,PCT,SP_DYN_MRBF15,0.0
1985,PCT,SP_DYN_MRBF18,0.470035252643948
1986,PCT,SP_DYN_MRBF15,0.0
1986,PCT,SP_DYN_MRBF18,0.510493477027794
1987,PCT,SP_DYN_MRBF15,0.0
1987,PCT,SP_DYN_MRBF18,0.435492651061513
1988,PCT,SP_DYN_MRBF15,0.0
1988,PCT,SP_DYN_MRBF18,0.261917234154007
1989,PCT,SP_DYN_MRBF15,0.0
1989,PCT,SP_DYN_MRBF18,0.203148806500762
1990,PCT,SP_DYN_MRBF15,0.0
1990,PCT,SP_DYN_MRBF18,0.367068694284216
1991,PCT,SP_DYN_MRBF15,0.0
1991,PCT,SP_DYN_MRBF18,0.345622119815668
1992,PCT,SP_DYN_MRBF15,0.0
1992,PCT,SP_DYN_MRBF18,0.181708055723804
1993,PCT,SP_DYN_MRBF15,0.0
1993,PCT,SP_DYN_MRBF18,0.275292498279422
1994,PCT,SP_DYN_MRBF15,0.0
1994,PCT,SP_DYN_MRBF18,0.327600327600328
1995,PCT,SP_DYN_MRBF15,0.0
1995,PCT,SP_DYN_MRBF18,0.26857654431513
1996,PCT,SP_DYN_MRBF15,0.0
1996,PCT,SP_DYN_MRBF18,0.434782608695652
1997,PCT,SP_DYN_MRBF15,0.0
1997,PCT,SP_DYN_MRBF18,0.327332242225859
1998,PCT,SP_DYN_MRBF15,0.0
1998,PCT,SP_DYN_MRBF18,0.31496062992126
1999,PCT,SP_DYN_MRBF15,0.0
1999,PCT,SP_DYN_MRBF18,0.231124807395994
2000,PCT,SP_DYN_MRBF15,0.0
2000,PCT,SP_DYN_MRBF18,0.153727901614143
2001,PCT,SP_DYN_MRBF15,0.0
2001,PCT,SP_DYN_MRBF18,0.149700598802395
2002,PCT,SP_DYN_MRBF15,0.0
2002,PCT,SP_DYN_MRBF18,0.145666423889294
2003,PCT,SP_DYN_MRBF15,0.0
2003,PCT,SP_DYN_MRBF18,0.071994240460763
2004,PCT,SP_DYN_MRBF15,0.0
2004,PCT,SP_DYN_MRBF18,0.074571215510813
2005,PCT,SP_DYN_MRBF15,0.0
2005,PCT,SP_DYN_MRBF18,0.0
2006,PCT,SP_DYN_MRBF15,0.0
2006,PCT,SP_DYN_MRBF18,0.0
2007,PCT,SP_DYN_MRBF15,0.0
2007,PCT,SP_DYN_MRBF18,0.0
2008,PCT,SP_DYN_MRBF15,0.0
2008,PCT,SP_DYN_MRBF18,0.0
2009,PCT,SP_DYN_MRBF15,0.0
2009,PCT,SP_DYN_MRBF18,0.0
2010,PCT,SP_DYN_MRBF15,0.0
2010,PCT,SP_DYN_MRBF18,0.0
2011,PCT,SP_DYN_MRBF15,0.0
2011,PCT,SP_DYN_MRBF18,0.0
2012,PCT,SP_DYN_MRBF15,0.0
2012,PCT,SP_DYN_MRBF18,0.0
2013,PCT,SP_DYN_MRBF15,0.0
2013,PCT,SP_DYN_MRBF18,0.0
2014,PCT,SP_DYN_MRBF15,0.0
2014,PCT,SP_DYN_MRBF18,0.0
2015,PCT,SP_DYN_MRBF15,0.0
2015,PCT,SP_DYN_MRBF18,0.0
2016,PCT,SP_DYN_MRBF15,0.0
2016,PCT,SP_DYN_MRBF18,0.0
2017,PCT,SP_DYN_MRBF15,0.0
2017,PCT,SP_DYN_MRBF18,0.072306579898771
2018,PCT,SP_DYN_MRBF15,0.0
2018,PCT,SP_DYN_MRBF18,0.073260073260073
2019,PCT,SP_DYN_MRBF15,0.0
2019,PCT,SP_DYN_MRBF18,0.07496251874063
2020,PCT,SP_DYN_MRBF15,0.0
2020,PCT,SP_DYN_MRBF18,0.141143260409315
2021,PCT,SP_DYN_MRBF15,0.0
2021,PCT,SP_DYN_MRBF18,0.13986013986014
2022,PCT,SP_DYN_MRBF15,0.0
2022,PCT,SP_DYN_MRBF18,0.071530758226037
2023,PCT,SP_DYN_MRBF15,0.0
2023,PCT,SP_DYN_MRBF18,0.070521861777151
2024,PCT,SP_DYN_MRBF15,0.0
2024,PCT,SP_DYN_MRBF18,0.069348127600555
2025,PCT,SP_DYN_MRBF15,0.0
2025,PCT,SP_DYN_MRBF18,0.0
