Year,Series,age,Units,sex,Value
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,4.40759001942328
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,Males,4.18746533555186
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,Females,4.66472303206997
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,,2.99450549450549
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,Males,3.18230852211435
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",15-19 years,pct.,Females,2.79955207166853
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,,6.09236816246315
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,Males,5.25114155251142
2011,"Proportion of youth (aged 15-24 years) not in education, employment or training",20-24 years,pct.,Females,7.22521137586472
2017,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,2.34484914803814
2018,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,5.19117189928505
2019,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,9.89948218093207
2020,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,7.42065265981225
2021,"Proportion of youth (aged 15-24 years) not in education, employment or training",,pct.,,4.39253709416777
