Year,Units,Series,vørubólkur,Value
2000,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,3.65506
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,3.70643
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,8.32544
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,3.35061
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,2.2445
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,7.43054
2000,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,7.44748
2001,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,8.80365
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,8.0242
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,3.91215
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,12.17244
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,3.96325
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,2.0646
2001,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,1.90099
2002,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,3.43279
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,3.48906
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,2.33854
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,7.45742
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,6.83645
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,3.42533
2002,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,8.23943
2003,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,12.95968
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,12.17185
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,3.91215
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,2.40286
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,1.86034
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,7.86063
2003,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,3.96339
2004,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,8.68377
2004,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,3.6273
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,7.46877
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,7.06618
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,3.74558
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,8.16649
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,3.27275
2004,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,1.90099
2005,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,3.6469
2005,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,7.72954
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,2.22964
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,2.23841
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,7.29789
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,3.8777
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,12.06698
2005,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,3.96339
2006,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,8.80333
2006,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,3.41948
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,7.61532
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,3.50824
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,8.34489
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,3.58463
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,1.86034
2006,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,7.51676
2007,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,3.42459
2007,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,12.31428
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,2.01586
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,7.62437
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,3.90643
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,12.0693
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,3.8777
2007,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,2.0788
2008,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,12.70205
2008,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,7.12526
2008,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,3.63485
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,8.33886
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,3.34706
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,2.23841
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,7.51602
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,7.45184
2008,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,3.60495
2009,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,8.43693
2009,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,2.19914
2009,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,8.0428
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,3.91534
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,12.14938
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,3.90643
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,2.43505
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,1.86288
2009,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,7.72066
2010,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,3.42459
2010,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,7.72797
2010,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,3.41774
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,2.01586
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,7.45716
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,6.8891
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,3.41989
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,8.23943
2010,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,3.42736
2011,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Tilsamans,8.43693
2011,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,1.99135
2011,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,12.18176
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Tilsamans,3.91534
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,2.40118
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,2.27181
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,7.56616
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,3.96339
2011,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,12.06696
2012,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,8.48158
2012,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,7.47911
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,7.21558
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,3.51769
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,8.24607
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,3.2733
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,1.86288
2012,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,7.50799
2013,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,3.61837
2013,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,2.20609
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Landbúnaðarvørur,2.23448
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Pløgg,7.49128
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Ídnaðarvørur,3.96318
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Klædnavørur,12.06622
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Olja,3.96339
2013,%,"Miðal álagdur tollur hjá framkomnum londum við framíhjárættindatolli, skift á vørubólk (%)",Vápn,2.12522
2014,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Ídnaðarvørur,1.99135
2014,%,"Miðal álagdur tollur hjá framkomnum londum í bólkinum við mestu rættindum (MFN), skift á vørubólk (%)",Vápn,7.63392
