Year,Mát,Value
1997,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.002501702547567
1997,Neyðhjálp sum partur av BTI,0.0
1998,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0025994956978346
1998,Neyðhjálp sum partur av BTI,0.0
1999,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0324321025328044
1999,Neyðhjálp sum partur av BTI,0.0
2000,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0
2000,Neyðhjálp sum partur av BTI,0.0
2001,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0
2001,Neyðhjálp sum partur av BTI,0.0
2002,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.028866693608914
2002,Neyðhjálp sum partur av BTI,0.0
2003,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0029283148524129
2003,Neyðhjálp sum partur av BTI,0.0
2004,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0028226261713898
2004,Neyðhjálp sum partur av BTI,0.0
2005,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0562557413191255
2005,Neyðhjálp sum partur av BTI,0.0
2006,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0256511731211889
2006,Neyðhjálp sum partur av BTI,0.0024229697532609
2007,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0238686311699833
2007,Neyðhjálp sum partur av BTI,0.0042063722715939
2008,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0230168901980446
2008,Neyðhjálp sum partur av BTI,0.0023502130859864
2009,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0248633673079161
2009,Neyðhjálp sum partur av BTI,0.0024940558335965
2010,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0222509051056272
2010,Neyðhjálp sum partur av BTI,0.0022674880012093
2011,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0141410713275638
2011,Neyðhjálp sum partur av BTI,0.0021211606991345
2012,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0134908164305372
2012,Neyðhjálp sum partur av BTI,0.0033975469710868
2013,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0126088957538694
2013,Neyðhjálp sum partur av BTI,0.003152286984207
2014,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.01481806381251
2014,Neyðhjálp sum partur av BTI,0.0
2015,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0088113689252389
2015,Neyðhjálp sum partur av BTI,0.0070603917670183
2016,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0127729581149157
2016,Neyðhjálp sum partur av BTI,0.0051091832459663
2017,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0097971989679889
2017,Neyðhjálp sum partur av BTI,0.0222336232370222
2018,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0285686620996829
2018,Neyðhjálp sum partur av BTI,0.0145239766648108
2019,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.027311137251792
2019,Neyðhjálp sum partur av BTI,0.0123360516704336
2020,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0105748208727383
2020,Neyðhjálp sum partur av BTI,0.0306774058980201
2021,Netto almennur menningarstuðul sum partur av bruttotjóðarinntøkuni (BTI),0.0177651733225218
2021,Neyðhjálp sum partur av BTI,0.0195013176565984
