"Year","data.measure","Value"
"2005","data.chlorophyllaanomalyremotesensing",
"2005","data.chlorophyll-adeviationsremotesensing",4.89118
"2006","data.chlorophyllaanomalyremotesensing",
"2006","data.chlorophyll-adeviationsremotesensing",3.70124
"2007","data.chlorophyllaanomalyremotesensing",
"2007","data.chlorophyll-adeviationsremotesensing",3.06608
"2008","data.chlorophyllaanomalyremotesensing",
"2008","data.chlorophyll-adeviationsremotesensing",5.38985
"2009","data.chlorophyllaanomalyremotesensing",
"2009","data.chlorophyll-adeviationsremotesensing",8.33331
"2010","data.chlorophyllaanomalyremotesensing",
"2010","data.chlorophyll-adeviationsremotesensing",10.04076
"2011","data.chlorophyllaanomalyremotesensing",
"2011","data.chlorophyll-adeviationsremotesensing",11.6396
"2012","data.chlorophyllaanomalyremotesensing",
"2012","data.chlorophyll-adeviationsremotesensing",3.69643
"2013","data.chlorophyllaanomalyremotesensing",
"2013","data.chlorophyll-adeviationsremotesensing",6.30942
"2014","data.chlorophyllaanomalyremotesensing",
"2014","data.chlorophyll-adeviationsremotesensing",7.05934
"2015","data.chlorophyllaanomalyremotesensing",
"2015","data.chlorophyll-adeviationsremotesensing",4.37811
"2016","data.chlorophyllaanomalyremotesensing",
"2016","data.chlorophyll-adeviationsremotesensing",2.52618
"2017","data.chlorophyllaanomalyremotesensing",
"2017","data.chlorophyll-adeviationsremotesensing",4.39161
"2018","data.chlorophyllaanomalyremotesensing",10.23508
"2018","data.chlorophyll-adeviationsremotesensing",3.87649
"2019","data.chlorophyllaanomalyremotesensing",9.71305
"2019","data.chlorophyll-adeviationsremotesensing",6.09887
"2020","data.chlorophyllaanomalyremotesensing",11.07212
"2020","data.chlorophyll-adeviationsremotesensing",6.08639
"2021","data.chlorophyllaanomalyremotesensing",
"2021","data.chlorophyll-adeviationsremotesensing",3.59289
