"Year","data.source","Value"
"1998","",76.9667252242155
"1998","data.taxes",41.1013335732937
"1998","data.socialcontributions",3.65543313775497
"1998","data.grants",14.9175713748071
"1998","data.otherrevenue",17.2923871383597
"1999","",64.9242632804708
"1999","data.taxes",42.486267050796
"1999","data.socialcontributions",3.45620392864751
"1999","data.grants",14.3802997590251
"1999","data.otherrevenue",4.6014925420022
"2000","",62.700426626998
"2000","data.taxes",41.9506117910975
"2000","data.socialcontributions",3.06528720673378
"2000","data.grants",13.4981614780641
"2000","data.otherrevenue",4.18636615110275
"2001","",60.9049129606961
"2001","data.taxes",41.3474914934314
"2001","data.socialcontributions",2.87261924971896
"2001","data.grants",12.2226117535807
"2001","data.otherrevenue",4.46219046396503
"2002","",57.452800330375
"2002","data.taxes",42.1714581071165
"2002","data.socialcontributions",3.04871866886696
"2002","data.grants",8.00276233183195
"2002","data.otherrevenue",4.22986122255964
"2003","",57.2206690055544
"2003","data.taxes",42.7386327228677
"2003","data.socialcontributions",2.45393147423849
"2003","data.grants",8.0763453091597
"2003","data.otherrevenue",3.9517594992885
"2004","",54.673363504235
"2004","data.taxes",40.5847746752297
"2004","data.socialcontributions",2.74745869525663
"2004","data.grants",7.91914565103381
"2004","data.otherrevenue",3.42198448271484
"2005","",54.9931271473713
"2005","data.taxes",40.1773718496295
"2005","data.socialcontributions",3.20573713925556
"2005","data.grants",7.66515155762289
"2005","data.otherrevenue",3.94486660086341
"2006","",53.9400836780858
"2006","data.taxes",39.7201904793481
"2006","data.socialcontributions",3.63206508967874
"2006","data.grants",6.6949010705345
"2006","data.otherrevenue",3.89292703852442
"2007","",54.7974861106748
"2007","data.taxes",40.5509093826046
"2007","data.socialcontributions",4.19386547562816
"2007","data.grants",6.39760827049944
"2007","data.otherrevenue",3.6551029819426
"2008","",56.4170091857637
"2008","data.taxes",40.7241722686747
"2008","data.socialcontributions",4.57865302018682
"2008","data.grants",6.51032150014175
"2008","data.otherrevenue",4.60386239676046
"2009","",55.5810871894031
"2009","data.taxes",39.153087597844
"2009","data.socialcontributions",4.63243428470746
"2009","data.grants",6.75123270885988
"2009","data.otherrevenue",5.04433259799169
"2010","",52.7947120044163
"2010","data.taxes",38.4827363037564
"2010","data.socialcontributions",4.53630685935457
"2010","data.grants",6.43501320996692
"2010","data.otherrevenue",3.34065563133844
"2011","",54.5253737265368
"2011","data.taxes",39.2644240107074
"2011","data.socialcontributions",4.52030371271108
"2011","data.grants",6.30582739597567
"2011","data.otherrevenue",4.43481860714262
"2012","",52.6214035376377
"2012","data.taxes",38.1151855530991
"2012","data.socialcontributions",4.7050076963826
"2012","data.grants",6.02582391591132
"2012","data.otherrevenue",3.77538637224472
"2013","",49.8779159178062
"2013","data.taxes",35.6375783163359
"2013","data.socialcontributions",4.45643472324888
"2013","data.grants",5.63391836689358
"2013","data.otherrevenue",4.14998451132786
"2014","",48.6523952497825
"2014","data.taxes",35.3902304518966
"2014","data.socialcontributions",4.28620448285755
"2014","data.grants",5.2571734869628
"2014","data.otherrevenue",3.71878682806557
"2015","",49.1100770043114
"2015","data.taxes",36.3855985368122
"2015","data.socialcontributions",4.39047922797352
"2015","data.grants",5.04301658528117
"2015","data.otherrevenue",3.29098265424452
"2016","",48.1002184704446
"2016","data.taxes",34.8074857711705
"2016","data.socialcontributions",4.66042976101505
"2016","data.grants",4.62821967542453
"2016","data.otherrevenue",4.00408326283448
"2017","",50.6061690328494
"2017","data.taxes",36.1715848973976
"2017","data.socialcontributions",4.72682699165009
"2017","data.grants",4.46764176793849
"2017","data.otherrevenue",5.24011537586325
"2018","",52.8511763070294
"2018","data.taxes",36.9255472184497
"2018","data.socialcontributions",5.04647655364117
"2018","data.grants",4.3387480732811
"2018","data.otherrevenue",6.54040446165738
"2019","",50.3679975835817
"2019","data.taxes",36.2185231967898
"2019","data.socialcontributions",5.39630886913629
"2019","data.grants",4.04723165185222
"2019","data.otherrevenue",4.70593386580344
"2020","",51.6579138391583
"2020","data.taxes",38.0426642563261
"2020","data.socialcontributions",5.69238890185315
"2020","data.grants",4.06592513182251
"2020","data.otherrevenue",3.85693554915651
"2021","",51.1253687513937
"2021","data.taxes",36.3293210609129
"2021","data.socialcontributions",5.3664556959798
"2021","data.grants",3.80987022529218
"2021","data.otherrevenue",5.61972176920882
"2022","",48.8886723048309
"2022","data.taxes",35.4260557594816
"2022","data.socialcontributions",5.14023564273205
"2022","data.grants",3.53704169014344
"2022","data.otherrevenue",4.78533921247384
